Review,Rating
I have used this product for  several times in my organisation. this product is easy to use and very good option for conferencing within organisation.,4.0
"AT&T Connect Service is an interactive presentation and collaborative tool which combines audio conferencing and data-sharing through the power of the internet.
It is an AT&T product which give users option to create meetings as host and also to join metting rooms as participants.",5.0
"Not bad but did not meet our needs. We had connection issues, dropped called, etc, moreso than with our current solution. Hopefully these issues will be improved over time and we can revisit this. ",3.0
"I use the tool almost every day for testing and troubleshooting sessions across different departments, companies, and time zones. The screen share and built-in chat room have made it a lot easier to collaborate with all the attendees.",5.0
It serves the purpose of our general web meeting with people all around the world. The web sharing and phone quality are in general good. Sometimes the screen will be frozen (possibly due to network issue) so people have to re-share the screen. Audio by phone has better sound quality than using computer audio. More advanced white board drafting may be desired.,4.0
Voice quality is excellent. ability to connect from IP phones of office network as well as mobile phones. Price is littlebit on higher side. call drops are very less. support is available for multiple geographies and help in multiple languages.,4.0
"We use At&T regularly for the conference calls. Desktop sharing and recording we do regularly.
We use At&T regularly for the conference calls. Desktop sharing and recording we do regularly.",5.0
Our clients were located at north america so we used AT&T for the our service deliverable and it's milestone review. It worked great to connect with my clients and for the internal. ,4.0
"Overall experience is good.Have been using it for several years, however of late facing call drops and difficulty in connecting at times.",4.0
With AT&T Connect on your mobile device people can easily attend their meetings from virtually anywhere  anytime. ,5.0
"This company needs to get its act together. I don't know how such a large company is so disorganized. If you call them for support, you'll get transferred at least two times, minimum, before someone is able to help you. You'll hear common phrases such as, ""This request needs to go to our East Coast division."" ""Sorry, the number you called is for Enterprise Support, but this account is supported under Small Business support."" ""No, I can't transfer you."" When it comes to support, the only hope you can have is if you have a few personal contacts from AT&T you can blast an email to when something goes wrong.",1.0
Our relationship with AT&T Network Services encompasses using cellular network to provide cellular service and data transmission from our telematics devices to our databases for analysis.  The overall experience and partnership has been positive and would recommend others to partner and use their services as well.,4.0
"It has one integrated contract and a single, easy-to-read bill. An MPLS VPN uses multiprotocol label switching (MPLS) to create a virtual private network (VPN). MPLS VPN is a flexible method to transport and route several types of network traffic using a private MPLS backbone. AT&T VPN is an MPLS VPN.",4.0
